t (s), a, T (GK), Tnu (GK), photons, baryons, neutrinos, phi (GeV^4), Y(n), Y(p), Y(2H), Y(4He), Y(7Li), eta
2.66562e-01,1.37330e-10,1.57215e+01,1.56922e+01,2.21653e-12,9.37286e-19,5.86377e-12,0.00000e+00,2.97708e-01,7.02292e-01,8.00216e-13,1.02008e-30,1.00000e-30,1.66126e-09
2.74657e-01,1.38698e-10,1.55666e+01,1.55367e+01,2.13047e-12,9.09683e-19,5.63478e-12,0.00000e+00,2.96356e-01,7.03644e-01,7.99149e-13,1.20456e-30,1.00000e-30,1.66094e-09
2.82915e-01,1.40080e-10,1.54133e+01,1.53828e+01,2.04776e-12,8.82889e-19,5.41470e-12,0.00000e+00,2.95006e-01,7.04994e-01,7.98192e-13,1.49337e-30,1.00000e-30,1.66061e-09
2.91340e-01,1.41476e-10,1.52615e+01,1.52303e+01,1.96826e-12,8.56881e-19,5.20320e-12,0.00000e+00,2.93656e-01,7.06344e-01,7.97347e-13,1.78934e-30,1.00000e-30,1.66027e-09
2.99936e-01,1.42887e-10,1.51111e+01,1.50793e+01,1.89185e-12,8.31636e-19,4.99993e-12,0.00000e+00,2.92309e-01,7.07691e-01,7.96614e-13,2.08241e-30,1.00000e-30,1.65993e-09
3.08706e-01,1.44311e-10,1.49623e+01,1.49298e+01,1.81840e-12,8.07132e-19,4.80457e-12,0.00000e+00,2.90963e-01,7.09037e-01,7.95996e-13,2.42673e-30,1.00000e-30,1.65958e-09
3.17653e-01,1.45750e-10,1.48149e+01,1.47818e+01,1.74781e-12,7.83346e-19,4.61682e-12,0.00000e+00,2.89620e-01,7.10380e-01,7.95493e-13,2.86621e-30,1.00000e-30,1.65922e-09
3.26781e-01,1.47203e-10,1.46690e+01,1.46352e+01,1.67995e-12,7.60259e-19,4.43639e-12,0.00000e+00,2.88279e-01,7.11721e-01,7.95106e-13,3.40949e-30,1.00000e-30,1.65886e-09
3.36094e-01,1.48672e-10,1.45245e+01,1.44900e+01,1.61473e-12,7.37848e-19,4.26298e-12,0.00000e+00,2.86940e-01,7.13060e-01,7.94838e-13,4.05603e-30,1.00000e-30,1.65849e-09
3.45596e-01,1.50155e-10,1.43814e+01,1.43463e+01,1.55204e-12,7.16095e-19,4.09633e-12,0.00000e+00,2.85604e-01,7.14396e-01,7.94688e-13,4.82266e-30,1.00000e-30,1.65811e-09
3.55290e-01,1.51653e-10,1.42397e+01,1.42039e+01,1.49179e-12,6.94981e-19,3.93617e-12,0.00000e+00,2.84271e-01,7.15729e-01,7.94660e-13,5.74455e-30,1.00000e-30,1.65773e-09
3.65181e-01,1.53166e-10,1.40995e+01,1.40630e+01,1.43387e-12,6.74486e-19,3.78224e-12,0.00000e+00,2.82941e-01,7.17059e-01,7.94754e-13,6.86329e-30,1.00000e-30,1.65734e-09
3.75272e-01,1.54694e-10,1.39606e+01,1.39234e+01,1.37821e-12,6.54592e-19,3.63432e-12,0.00000e+00,2.81615e-01,7.18385e-01,7.94973e-13,8.22204e-30,1.00000e-30,1.65694e-09
3.85568e-01,1.56238e-10,1.38231e+01,1.37852e+01,1.32470e-12,6.35282e-19,3.49216e-12,0.00000e+00,2.80291e-01,7.19709e-01,7.95318e-13,9.87103e-30,1.00000e-30,1.65653e-09
3.96072e-01,1.57798e-10,1.36869e+01,1.36484e+01,1.27328e-12,6.16539e-19,3.35554e-12,0.00000e+00,2.78972e-01,7.21028e-01,7.95790e-13,1.18752e-29,1.00000e-30,1.65611e-09
4.06790e-01,1.59374e-10,1.35521e+01,1.35129e+01,1.22384e-12,5.98346e-19,3.22424e-12,0.00000e+00,2.77656e-01,7.22344e-01,7.96393e-13,1.43184e-29,1.00000e-30,1.65569e-09
4.17725e-01,1.60965e-10,1.34186e+01,1.33787e+01,1.17633e-12,5.80687e-19,3.09806e-12,0.00000e+00,2.76345e-01,7.23655e-01,7.97127e-13,1.73052e-29,1.00000e-30,1.65526e-09
4.28882e-01,1.62573e-10,1.32864e+01,1.32458e+01,1.13067e-12,5.63546e-19,2.97679e-12,0.00000e+00,2.75037e-01,7.24963e-01,7.97995e-13,2.09649e-29,1.00000e-30,1.65482e-09
4.40266e-01,1.64197e-10,1.31556e+01,1.31142e+01,1.08677e-12,5.46908e-19,2.86026e-12,0.00000e+00,2.73735e-01,7.26265e-01,7.99000e-13,2.54587e-29,1.00000e-30,1.65437e-09
4.51881e-01,1.65837e-10,1.30260e+01,1.29839e+01,1.04458e-12,5.30759e-19,2.74827e-12,0.00000e+00,2.72436e-01,7.27564e-01,8.00143e-13,3.09894e-29,1.00000e-30,1.65391e-09
4.63732e-01,1.67495e-10,1.28977e+01,1.28549e+01,1.00403e-12,5.15084e-19,2.64064e-12,0.00000e+00,2.71143e-01,7.28857e-01,8.01427e-13,3.78125e-29,1.00000e-30,1.65344e-09
4.75823e-01,1.69169e-10,1.27706e+01,1.27271e+01,9.65051e-13,4.99869e-19,2.53721e-12,0.00000e+00,2.69854e-01,7.30146e-01,8.02854e-13,4.62507e-29,1.00000e-30,1.65297e-09
4.88161e-01,1.70860e-10,1.26449e+01,1.26006e+01,9.27587e-13,4.85101e-19,2.43781e-12,0.00000e+00,2.68570e-01,7.31430e-01,8.04428e-13,5.67119e-29,1.00000e-30,1.65248e-09
